querry_searched,ecommerce_website,product_name,product_price,product_rating,rating_count,poduct_image_url,product_url,reviews_count
Hardware Products,Flipkart,ATOM Iron Glossy Handlesets,1249.0,4.1,652.0,https://rukminim1.flixcart.com/image/612/612/kj36ky80-0/door-lock/i/c/l/606sglegend-2-atom-original-imafyqmw8zpfquku.jpeg?q=70,https://www.flipkart.com/atom-iron-glossy-handlesets/p/itmfgzgj2yzy98zj?pid=DRLFGZEAATTZYV2Q&lid=LSTDRLFGZEAATTZYV2QB7OG8D&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_11&otracker=search&fm=organic&iid=8d87fe52-eddc-4080-8380-a87af4f0bbe4.DRLFGZEAATTZYV2Q.SEARCH&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,Flipkart SmartBuy Stainless Steel Folding Towel Rack/Bathroom Shelf/Towel Rod/Towel Holder With Hook/Hanger/Towel Stand for Bathroom (24 Inch) Stainless Steel Wall Shelf,1219.0,4.3,28.0,https://rukminim1.flixcart.com/image/612/612/knunf680/rack-shelf/x/c/n/stainless-steel-folding-towel-rack-bathroom-shelf-towel-rod-original-imag2furebp6hrge.jpeg?q=70,https://www.flipkart.com/flipkart-smartbuy-stainless-steel-folding-towel-rack-bathroom-shelf-towel-rod-towel-holder-hook-hanger-towel-stand-bathroom-24-inch-wall-shelf/p/itm2d765f2342358?pid=RSFG2FUSMCHSFNDF&lid=LSTRSFG2FUSMCHSFNDFSZN1OP&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_12&otracker=search&fm=organic&iid=en_HhwIuE%2FLwPrdFrDmxyVh7surOeuHyi2aJQdv9Oe6kNfp1OcxMhZ6xeHK8G2kX%2FKh6gZAZMagWezPWw4lfx5LMw%3D%3D&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,Screwtight Iron Glossy Door levers,879.0,0.0,0.0,https://rukminim1.flixcart.com/image/612/612/xif0q/door-lock/v/b/z/1-pll-handle-blk-2-screwtight-original-imaghtnqqruhtqcs.jpeg?q=70,https://www.flipkart.com/screwtight-iron-glossy-door-levers/p/itmcd72b6dea3319?pid=DRLGHTNRHSGAS2ZB&lid=LSTDRLGHTNRHSGAS2ZBTWTZ04&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_13&otracker=search&fm=organic&iid=8d87fe52-eddc-4080-8380-a87af4f0bbe4.DRLGHTNRHSGAS2ZB.SEARCH&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,iSTAR Stainless Steel Soap Dish/ Soap Holder / Bathroom Accessories (PACK OF 1) Stainless Steel Wall Shelf,349.0,4.4,386.0,https://rukminim1.flixcart.com/image/612/612/ktaeqvk0/soap-case/s/d/3/stainless-steel-soap-dish-stand-soap-dish-holder-soap-dispenser-original-imag6z6bx9y9hhyg.jpeg?q=70,https://www.flipkart.com/istar-stainless-steel-soap-dish-holder-bathroom-accessories-pack-1-wall-shelf/p/itm292c716110135?pid=RSFGCDNJWCBTJCTB&lid=LSTRSFGCDNJWCBTJCTBSRX8UY&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_14&otracker=search&fm=organic&iid=8d87fe52-eddc-4080-8380-a87af4f0bbe4.RSFGCDNJWCBTJCTB.SEARCH&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,MARUTIART Acrylic Tooth Brush Holder/Stand/Tumbler for Bathroom Accessories for Home Acrylic Wall Shelf,248.0,4.2,403.0,https://rukminim1.flixcart.com/image/612/612/kf1fo280/rack-shelf/u/4/q/acrylic-tooth-brush-holder-stand-tumbler-for-bathroom-original-imafvh7fkt2z8hv5.jpeg?q=70,https://www.flipkart.com/marutiart-acrylic-tooth-brush-holder-stand-tumbler-bathroom-accessories-home-wall-shelf/p/itm6091a7da18162?pid=RSFFVHFWG6A2PU4Q&lid=LSTRSFFVHFWG6A2PU4QXGWPTK&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_15&otracker=search&fm=organic&iid=8d87fe52-eddc-4080-8380-a87af4f0bbe4.RSFFVHFWG6A2PU4Q.SEARCH&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,ATOM Stainless Steel Matte Handlesets,1069.0,4.2,77.0,https://rukminim1.flixcart.com/image/612/612/k30h8y80/door-lock/a/h/z/609-bs-atom-original-imafm8b4uafghb4p.jpeg?q=70,https://www.flipkart.com/atom-stainless-steel-matte-handlesets/p/itmf2a1962998258?pid=DRLFM8A6EDZXUAHZ&lid=LSTDRLFM8A6EDZXUAHZTTBQQM&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_16&otracker=search&fm=organic&iid=en_HhwIuE%2FLwPrdFrDmxyVh7surOeuHyi2aJQdv9Oe6kNdarhRRcivHvWjtKyo8bVNNr13U0iTnsNkEIoD8r9GmJg%3D%3D&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,"iSTAR New Double Soap Dish Stand, Double Soap dish Holder, Bathroom Accessories(Chrome Finish, 304 Stainless Steel) (Silver) (Silver) Stainless Steel Wall Shelf",575.0,4.4,386.0,https://rukminim1.flixcart.com/image/612/612/kw104nk0/rack-shelf/c/e/b/bathroom-new-double-soap-dish-stand-double-soap-dish-holder-original-imag8ssjh5pzabat.jpeg?q=70,https://www.flipkart.com/istar-new-double-soap-dish-stand-holder-bathroom-accessories-chrome-finish-304-stainless-steel-silver-steel-wall-shelf/p/itmccf4309cf3fc9?pid=RSFG8SSJPQWAGUGJ&lid=LSTRSFG8SSJPQWAGUGJGZVH5M&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_17&otracker=search&fm=organic&iid=8d87fe52-eddc-4080-8380-a87af4f0bbe4.RSFG8SSJPQWAGUGJ.SEARCH&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,cosvo ID 116 Smart Band with Wall Papers,401.0,3.3,0.0,https://rukminim1.flixcart.com/image/612/612/ksxjs7k0/smart-band-tag/f/k/s/tft-lcd-no-free-5-yes-yes-smart-watch-116-plus-heart-rate-original-imag6duwrsb37h9y.jpeg?q=70,https://www.flipkart.com/cosvo-id-116-smart-band-wall-papers/p/itm602649ba67784?pid=SBNG72NYUFXCZEDB&lid=LSTSBNG72NYUFXCZEDBK4NIWR&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_18&otracker=search&fm=organic&iid=8d87fe52-eddc-4080-8380-a87af4f0bbe4.SBNG72NYUFXCZEDB.SEARCH&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,"Eco Handicrafts Wall Decoration Shelf Rack MDF Wall Shelf (Number of Shelves - 3, RED) Wooden Wall Shelf",599.0,4.2,0.0,https://rukminim1.flixcart.com/image/612/612/jydaqa80/rack-shelf/q/u/w/int-d-fabulo-original-imafg35fgszfaaac.jpeg?q=70,https://www.flipkart.com/eco-handicrafts-wall-decoration-shelf-rack-mdf-number-shelves-3-red-wooden/p/itmee461ab3648b3?pid=RSFFRFFNBWH8E8VF&lid=LSTRSFFRFFNBWH8E8VF0OCKCG&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_19&otracker=search&fm=organic&iid=8d87fe52-eddc-4080-8380-a87af4f0bbe4.RSFFRFFNBWH8E8VF.SEARCH&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,Decorhand Wall Mount Set of 4 White Wall Shelves Storage Rack Shelves Wooden Wall Shelf,964.0,4.2,0.0,https://rukminim1.flixcart.com/image/612/612/jw5a2kw0/rack-shelf/g/q/z/scfp-912-decorhand-original-imafgw3wcpdc8hng.jpeg?q=70,https://www.flipkart.com/decorhand-wall-mount-set-4-white-shelves-storage-rack-wooden-shelf/p/itmfgwcdzgfgtquj?pid=RSFFGW45PFCR7GQZ&lid=LSTRSFFGW45PFCR7GQZDJGCZT&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_20&otracker=search&fm=organic&iid=en_HhwIuE%2FLwPrdFrDmxyVh7surOeuHyi2aJQdv9Oe6kNdpJKCT8vhA6WR2q8GkwFKky1wxV8IkgnXUgzIchzYFqw%3D%3D&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,KEEPWELL Anti-Rust Unbreakable Plastic Double Soap Dish / Soap Stand,179.0,4.0,69.0,https://rukminim1.flixcart.com/image/612/612/jxrv4i80/soap-case/6/q/7/anti-rust-unbreakable-plastic-double-soap-dish-soap-stand-double-original-imafg4rg8me3zjn7.jpeg?q=70,https://www.flipkart.com/keepwell-anti-rust-unbreakable-plastic-double-soap-dish-stand/p/itmfg6ykh4g2yk2j?pid=SPCFG5YZD7VTZ6Q7&lid=LSTSPCFG5YZD7VTZ6Q7IDMTS2&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_21&otracker=search&fm=organic&iid=8d87fe52-eddc-4080-8380-a87af4f0bbe4.SPCFG5YZD7VTZ6Q7.SEARCH&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,RAG Solutions classiconline MDF wall decoration MDF (Medium Density Fiber) Wall Shelf,1195.0,4.2,0.0,https://rukminim1.flixcart.com/image/612/612/k5fn3ww0/rack-shelf/9/t/q/skh-rs-065-c-k-handicrafts-original-imafcmzgpt2fyhye.jpeg?q=70,https://www.flipkart.com/rag-solutions-classiconline-mdf-wall-decoration-medium-density-fiber-shelf/p/itmfemfffcv9fkcv?pid=RSFFEHWQXVWHZQAQ&lid=LSTRSFFEHWQXVWHZQAQEMCTQ5&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_22&otracker=search&fm=organic&iid=8d87fe52-eddc-4080-8380-a87af4f0bbe4.RSFFEHWQXVWHZQAQ.SEARCH&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,BLUEWAVE CRAFT set top box stand wooden Wooden Wall Shelf,799.0,3.8,78.0,https://rukminim1.flixcart.com/image/612/612/khs11u80-0/rack-shelf/a/v/5/fj578fh7-bluewave-craft-original-imafxqyfrahfush5.jpeg?q=70,https://www.flipkart.com/bluewave-craft-set-top-box-stand-wooden-wall-shelf/p/itmdbd9f829ea4e6?pid=RSFFXQFJ7HHBHNPJ&lid=LSTRSFFXQFJ7HHBHNPJUBULXJ&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_23&otracker=search&fm=organic&iid=8d87fe52-eddc-4080-8380-a87af4f0bbe4.RSFFXQFJ7HHBHNPJ.SEARCH&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
Hardware Products,Flipkart,icrush Engineered Wood L Shape TV Entertainment Unit TV Cabinet with Wall Shelves Engineered Wood TV Entertainment Unit,2399.0,0.0,0.0,https://rukminim1.flixcart.com/image/612/612/xif0q/rack-shelf/w/9/v/living-room-bedroom-l-shape-2-icrush-6-original-imagm5vyq8yu5evz.jpeg?q=70,https://www.flipkart.com/icrush-engineered-wood-l-shape-tv-entertainment-unit-cabinet-wall-shelves/p/itm55c905ca300d3?pid=TVUGMPQAJYCNFBCX&lid=LSTTVUGMPQAJYCNFBCXSMGAVH&marketplace=FLIPKART&q=Hardware+Products&store=search.flipkart.com&srno=s_1_24&otracker=search&fm=organic&iid=en_HhwIuE%2FLwPrdFrDmxyVh7surOeuHyi2aJQdv9Oe6kNeg%2FuvkQBb3JaufPSegKrvyE91SQeN3Hk6bkTpq5fEh1A%3D%3D&ppt=None&ppn=None&ssid=w5n0xjuh5c0000001686120639815&qH=64ea97f200157d01,
